Student,LPIPS,SSIM
113AC1012.png,0.0,1.0
113590051.png,0.2993490993976593,0.6661102333499362
114054809.png,0.3121090233325958,0.6324494432253543
111590028.png,0.31516367197036743,0.6801740896586703
112590454.png,0.3201659023761749,0.6852262499190188
113590045.png,0.32097920775413513,0.5927487629225794
113370239.png,0.32364147901535034,0.6575581435444221
113590022.png,0.3344449996948242,0.6473292706990812
113590052.png,0.33967041969299316,0.6194810619826957
111590047.png,0.34082144498825073,0.6632691970734039
113590021.png,0.35246366262435913,0.6535629532925066
113590026.png,0.3558140695095062,0.6747013440251004
113590001.png,0.36187994480133057,0.6128874715513359
113590028.png,0.37404367327690125,0.6014734524517402
113590015.png,0.3824355900287628,0.6064081114749977
113590018.png,0.3886309266090393,0.5614604499040302
112590455.png,0.39286544919013977,0.618759577673208
113590002.png,0.42289263010025024,0.6196239686005127
113590049.png,0.44640523195266724,0.532126571872146
113590025.png,0.4555342495441437,0.7175388397503006
113590010.png,0.4590529799461365,0.583750871323774
113590043.png,0.4641565978527069,0.7121793237031383
111590455.png,0.47730752825737,0.5141323716357427
111590042.png,0.4916720986366272,0.7241257776679508
